TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
03/06/2020,30,Ribera d'Ebre,43177,Vinebre,0,Home,Sospitós,1
03/06/2020,36,Tarragonès,43148,Tarragona,0,Home,Sospitós,2
03/06/2020,40,Vallès Occidental,08180,Ripollet,0,Home,Sospitós,2
03/06/2020,33,Segrià ,25010,Alcanó,0,Home,Sospitós,1
03/06/2020,09,Baix Ebre,43906,L'Ampolla,0,Home,Sospitós,1
03/06/2020,18,Garrigues,25058,Les Borges Blanques,1,Dona,Sospitós,1
03/06/2020,12,Baix Penedès,43163,El Vendrell,1,Dona,Sospitós,3
03/06/2020,09,Baix Ebre,43901,Deltebre,0,Home,Sospitós,1
03/06/2020,17,Garraf,08231,Sant Pere de Ribes,0,Home,Sospitós,1
03/06/2020,21,Maresme,08126,Montgat,0,Home,Sospitós,3
03/06/2020,13,Barcelonès,08015,Badalona,1,Dona,Sospitós,15
03/06/2020,07,Bages,08053,Castellbell i el Vilar,1,Dona,Sospitós,1
03/06/2020,34,Selva,17028,Brunyola,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08157,Pallejà,0,Home,Sospitós,2
03/06/2020,11,Baix Llobregat,08077,Esplugues de Llobregat,1,Dona,Sospitós,2
03/06/2020,24,Osona,08067,Centelles,1,Dona,Sospitós,1
03/06/2020,21,Maresme,08214,Vilassar de Dalt,0,Home,Sospitós,2
03/06/2020,20,Gironès,17155,Salt,1,Dona,Positiu PCR,1
03/06/2020,13,Barcelonès,08194,Sant Adrià del Besòs,0,Home,Positiu PCR,1
03/06/2020,14,Berguedà ,08022,Berga,1,Dona,Sospitós,5
03/06/2020,27,Pla d'Urgell,25158,El Palau d'Anglesola,0,Home,Sospitós,1
03/06/2020,34,Selva,17023,Blanes,1,Dona,Sospitós,10
03/06/2020,13,Barcelonès,08019,Barcelona,0,Home,Positiu per Test Ràpid,1
03/06/2020,13,Barcelonès,08019,Barcelona,0,Home,Positiu PCR,4
03/06/2020,17,Garraf,08231,Sant Pere de Ribes,1,Dona,Sospitós,1
03/06/2020,14,Berguedà ,08175,Puig-Reig,0,Home,Sospitós,1
03/06/2020,07,Bages,08113,Manresa,1,Dona,Sospitós,14
03/06/2020,35,Solsonès,25207,Solsona,1,Dona,Sospitós,1
03/06/2020,09,Baix Ebre,43906,L'Ampolla,1,Dona,Sospitós,1
03/06/2020,04,Alt Urgell,25203,La Seu d'Urgell,1,Dona,Sospitós,1
03/06/2020,07,Bages,08062,Castellnou de Bages,1,Dona,Positiu per Test Ràpid,1
03/06/2020,33,Segrià ,25120,Lleida,1,Dona,Positiu per Test Ràpid,1
03/06/2020,10,Baix Empordà ,17048,Castell-Platja d'Aro,1,Dona,Positiu per Test Ràpid,1
03/06/2020,27,Pla d'Urgell,25122,Linyola,0,Home,Sospitós,1
03/06/2020,33,Segrià ,25120,Lleida,1,Dona,Sospitós,53
