Data defunció,Codi Comarca,Comarca,Codi Sexe,Sexe,Nombre defuncions
16/04/2020,42,Moianès,1,Dona,1
16/04/2020,14,Berguedà,0,Home,1
16/04/2020,7,Bages,1,Dona,11
16/04/2020,6,Anoia,0,Home,5
16/04/2020,3,Alt Penedès,0,Home,3
16/04/2020,7,Bages,0,Home,3
15/04/2020,21,Maresme,0,Home,5
15/04/2020,21,Maresme,1,Dona,9
15/04/2020,14,Berguedà,0,Home,5
15/04/2020,34,Selva,0,Home,3
15/04/2020,42,Moianès,0,Home,1
15/04/2020,41,Vallès Oriental,0,Home,4
15/04/2020,8,Baix Camp,1,Dona,1
15/04/2020,3,Alt Penedès,1,Dona,3
15/04/2020,10,Baix Empordà,0,Home,1
15/04/2020,1,Alt Camp,0,Home,1
15/04/2020,41,Vallès Oriental,1,Dona,3
15/04/2020,3,Alt Penedès,0,Home,1
15/04/2020,13,Barcelonès,1,Dona,62
15/04/2020,36,Tarragonès,0,Home,1
15/04/2020,11,Baix Llobregat,0,Home,12
15/04/2020,12,Baix Penedès,1,Dona,1
15/04/2020,24,Osona,0,Home,3
15/04/2020,6,Anoia,0,Home,1
15/04/2020,19,Garrotxa,1,Dona,1
15/04/2020,19,Garrotxa,0,Home,2
15/04/2020,17,Garraf,1,Dona,1
15/04/2020,17,Garraf,0,Home,2
15/04/2020,24,Osona,1,Dona,3
15/04/2020,7,Bages,0,Home,2
15/04/2020,36,Tarragonès,1,Dona,4
15/04/2020,33,Segrià,0,Home,1
15/04/2020,28,Pla de l'Estany,1,Dona,1
15/04/2020,40,Vallès Occidental,1,Dona,20
15/04/2020,6,Anoia,1,Dona,6
15/04/2020,8,Baix Camp,0,Home,1
15/04/2020,7,Bages,1,Dona,7
15/04/2020,11,Baix Llobregat,1,Dona,17
15/04/2020,20,Gironès,0,Home,2
15/04/2020,13,Barcelonès,0,Home,44
15/04/2020,40,Vallès Occidental,0,Home,14
15/04/2020,20,Gironès,1,Dona,1
14/04/2020,24,Osona,1,Dona,1
14/04/2020,20,Gironès,1,Dona,3
14/04/2020,21,Maresme,1,Dona,7
14/04/2020,12,Baix Penedès,0,Home,3
14/04/2020,34,Selva,1,Dona,2
14/04/2020,22,Montsià,0,Home,1
14/04/2020,12,Baix Penedès,1,Dona,1
14/04/2020,13,Barcelonès,1,Dona,68
14/04/2020,8,Baix Camp,1,Dona,3
14/04/2020,19,Garrotxa,0,Home,1
14/04/2020,21,Maresme,0,Home,8
14/04/2020,4,Alt Urgell,0,Home,1
14/04/2020,11,Baix Llobregat,0,Home,10
14/04/2020,33,Segrià,1,Dona,1
14/04/2020,36,Tarragonès,0,Home,8
14/04/2020,34,Selva,0,Home,3
14/04/2020,7,Bages,0,Home,7
14/04/2020,24,Osona,0,Home,3
14/04/2020,33,Segrià,0,Home,3
14/04/2020,3,Alt Penedès,1,Dona,1
14/04/2020,16,Conca de Barberà,1,Dona,1
14/04/2020,2,Alt Empordà,0,Home,1
14/04/2020,7,Bages,1,Dona,6
14/04/2020,17,Garraf,1,Dona,2
14/04/2020,20,Gironès,0,Home,3
14/04/2020,6,Anoia,1,Dona,6
14/04/2020,9,Baix Ebre,1,Dona,1
14/04/2020,40,Vallès Occidental,0,Home,8
14/04/2020,6,Anoia,0,Home,3
14/04/2020,4,Alt Urgell,1,Dona,1
14/04/2020,3,Alt Penedès,0,Home,2
