"region","fecha","cases_registered","PCR","TestAc","hospitalized","intensive_care","deceassed","date","recovered"
"Canarias","6/3/2020",11,11,NA,NA,NA,NA,2020-03-06,NA
"Cantabria","6/3/2020",10,10,NA,NA,NA,NA,2020-03-06,NA
"Castilla-La Mancha","6/3/2020",15,15,NA,NA,NA,NA,2020-03-06,NA
"Castilla y León","6/3/2020",14,14,NA,NA,NA,NA,2020-03-06,NA
"Cataluña","6/3/2020",24,24,NA,NA,NA,NA,2020-03-06,NA
"Ceuta","6/3/2020",0,0,NA,NA,NA,NA,2020-03-06,NA
"C. Valenciana","6/3/2020",30,30,NA,138,8,NA,2020-03-06,NA
"Extremadura","6/3/2020",6,6,NA,NA,NA,NA,2020-03-06,NA
"Galicia","6/3/2020",3,3,NA,NA,NA,NA,2020-03-06,NA
"Madrid","6/3/2020",515,515,NA,NA,NA,NA,2020-03-06,NA
"Melilla","6/3/2020",0,0,NA,NA,NA,NA,2020-03-06,NA
"Murcia","6/3/2020",0,0,NA,NA,NA,NA,2020-03-06,NA
"Navarra","6/3/2020",3,3,NA,NA,NA,NA,2020-03-06,NA
"País Vasco","6/3/2020",45,45,NA,NA,NA,NA,2020-03-06,NA
"La Rioja","6/3/2020",47,47,NA,NA,NA,NA,2020-03-06,NA
"Andalucía","7/3/2020",34,34,NA,NA,NA,NA,2020-03-07,NA
"Aragón","7/3/2020",5,5,NA,NA,NA,NA,2020-03-07,NA
"Asturias","7/3/2020",8,8,NA,4,1,0,2020-03-07,NA
"Baleares","7/3/2020",8,8,NA,NA,NA,NA,2020-03-07,NA
"Canarias","7/3/2020",17,17,NA,NA,NA,NA,2020-03-07,NA
"Cantabria","7/3/2020",12,12,NA,NA,NA,NA,2020-03-07,NA
"Castilla-La Mancha","7/3/2020",15,15,NA,NA,NA,NA,2020-03-07,NA
"Castilla y León","7/3/2020",22,22,NA,NA,NA,NA,2020-03-07,NA
"Cataluña","7/3/2020",49,49,NA,NA,NA,NA,2020-03-07,NA
"Ceuta","7/3/2020",0,0,NA,NA,NA,NA,2020-03-07,NA
"C. Valenciana","7/3/2020",37,37,NA,146,9,NA,2020-03-07,NA
"Extremadura","7/3/2020",6,6,NA,NA,NA,NA,2020-03-07,NA
"Galicia","7/3/2020",5,5,NA,NA,NA,NA,2020-03-07,NA
"Madrid","7/3/2020",738,738,NA,NA,NA,NA,2020-03-07,NA
"Melilla","7/3/2020",0,0,NA,NA,NA,NA,2020-03-07,NA
"Murcia","7/3/2020",1,1,NA,NA,NA,NA,2020-03-07,NA
"Navarra","7/3/2020",3,3,NA,NA,NA,NA,2020-03-07,NA
"País Vasco","7/3/2020",70,70,NA,NA,NA,NA,2020-03-07,NA
"La Rioja","7/3/2020",70,70,NA,NA,NA,NA,2020-03-07,NA
"Andalucía","8/3/2020",54,54,NA,NA,1,0,2020-03-08,NA
"Aragón","8/3/2020",7,7,NA,NA,3,3,2020-03-08,NA
"Asturias","8/3/2020",10,10,NA,7,1,0,2020-03-08,NA
"Baleares","8/3/2020",11,11,NA,NA,1,0,2020-03-08,NA
"Canarias","8/3/2020",22,22,NA,NA,0,0,2020-03-08,NA
"Cantabria","8/3/2020",12,12,NA,NA,0,0,2020-03-08,NA
"Castilla-La Mancha","8/3/2020",26,26,NA,21,2,0,2020-03-08,NA
"Castilla y León","8/3/2020",23,23,NA,NA,2,0,2020-03-08,NA
"Cataluña","8/3/2020",59,59,NA,16,5,2,2020-03-08,NA
"Ceuta","8/3/2020",0,0,NA,NA,0,0,2020-03-08,NA
"C. Valenciana","8/3/2020",37,37,NA,153,9,1,2020-03-08,NA
"Extremadura","8/3/2020",7,7,NA,NA,0,0,2020-03-08,NA
"Galicia","8/3/2020",6,6,NA,NA,2,0,2020-03-08,NA
"Madrid","8/3/2020",1003,1003,NA,NA,61,16,2020-03-08,NA
"Melilla","8/3/2020",0,0,NA,NA,0,0,2020-03-08,NA
"Murcia","8/3/2020",4,4,NA,NA,0,0,2020-03-08,NA
"Navarra","8/3/2020",3,3,NA,NA,1,0,2020-03-08,NA
"País Vasco","8/3/2020",149,149,NA,NA,5,6,2020-03-08,NA
"La Rioja","8/3/2020",102,102,NA,NA,1,0,2020-03-08,NA
"Andalucía","9/3/2020",71,71,NA,NA,1,0,2020-03-09,NA
