COD17ZON,OSI_NOM_eu,OSI_NOM_es,Cod_bopv1,Cod_osi,ZON_Cod,ZONA_Nom,ZONA_Nom1
306016,Barrualde - Galdakao,Barrualde - Galdakao,2.5.16,6,2516,MARKINA-XEMEIN,Markina - Xemein
307004,Debabarrena,Debabarrena,3.1.04,7,3104,ERMUA,Ermua
306011,Barrualde - Galdakao,Barrualde - Galdakao,2.5.11,6,2511,GALDAKAO,Galdakao
302011,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.11,2,2111,ZALLA,Zalla
302004,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.09,2,2109,SODUPE-GÜEÑES,Güeñes
305001,Uribe,Uribe,2.4.01,5,2401,ALANGO,Alango
305002,Uribe,Uribe,2.4.02,5,2402,ALGORTA,Algorta
305006,Uribe,Uribe,2.4.06,5,2406,LAS ARENAS,Las Arenas
306012,Barrualde - Galdakao,Barrualde - Galdakao,2.5-12,6,2512,GERNIKA,Gernika
305007,Uribe,Uribe,2.4.07,5,2407,LEIOA,Leioa
306017,Barrualde - Galdakao,Barrualde - Galdakao,2.5.17,6,2517,ONDARROA,Ondarroa
302003,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.05,2,2105,PORTUGALETE - BUENAVISTA,Buenavista
302006,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.04,2,2104,PORTUGALETE CASTAÑOS,Portugalete - Centro
302007,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.06,2,2106,PORTUGALETE REPELEGA,Portugalete-Repelega
302010,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.10,2,2110,TRAPAGARAN,Trapagaran
305010,Uribe,Uribe,2.4.10,5,2410,TXORIERRI,Txorierri
302008,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.08,2,2108,SANTURTZI KABIEZES,Santurtzi Kabiezes
302009,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.07,2,2107,SANTURTZI MAMARIGA,Santurtzi-Centro-Mamariga
302005,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.03,2,2103,ORTUELLA,Ortuella
303005,Barakaldo - Sestao,Barakaldo - Sestao,2.2.01,3,2201,KUETO,Sestao Kueto
303006,Barakaldo - Sestao,Barakaldo - Sestao,2.2.04,3,2204,MARKONZAGA,Sestao Markonzaga
305003,Uribe,Uribe,2.4.03,5,2403,ASTRABUDUA,Astrabudua
305004,Uribe,Uribe,2.4.04,5,2404,ERANDIO,Erandio
306008,Barrualde - Galdakao,Barrualde - Galdakao,2.5.08,6,2508,BERMEO,Bermeo
