"code","municipio","positivo","poblacion","ia","fallecidos","fatalidad","date","weekly_deaths","weekly_cases","ia7","ia14","provin_code","province"
"48093","AREATZA",7,1215,576.1,0,0,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"20013","ARETXABALETA",67,7098,943.9,7,10.4,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"01006","ARMIÑON",2,223,896.9,0,0,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"01037","ARRAIA-MAEZTU",2,732,273.2,0,0,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"20055","ARRASATE/MONDRAGON",276,22058,1251.2,37,13.4,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"01008","ARRATZUA-UBARRUNDIA",10,1033,968.1,0,0,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"48010","ARRIETA",2,566,353.4,0,0,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"48011","ARRIGORRIAGA",134,11882,1127.8,12,9,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"48023","ARTEA",3,722,415.5,0,0,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"48008","ARTZENTALES",6,692,867.1,0,0,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"01004","ARTZINIEGA",13,1922,676.4,1,7.7,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"01009","ASPARRENA",12,1609,745.8,0,0,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"20014","ASTEASU",5,1550,322.6,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20903","ASTIGARRAGA",24,6180,388.3,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20015","ATAUN",5,1745,286.5,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"48091","ATXONDO",9,1414,636.5,0,0,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"48070","AULESTI",2,665,300.8,0,0,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"01010","AYALA/AIARA",66,2901,2275.1,1,1.5,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"20017","AZKOITIA",23,11989,191.8,1,4.3,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20018","AZPEITIA",20,15055,132.8,1,5,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"48012","BAKIO",13,2639,492.6,1,7.7,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"48090","BALMASEDA",138,7595,1817,18,13,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"01011","BAÑOS DE EBRO/MAÑUETA",4,323,1238.4,0,0,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"48013","BARAKALDO",1232,98497,1250.8,90,7.3,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"48014","BARRIKA",10,1528,654.5,0,0,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"01013","BARRUNDIA",13,945,1375.7,0,0,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"48015","BASAURI",556,40711,1365.7,75,13.5,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"20019","BEASAIN",59,13969,422.4,6,10.2,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"48092","BEDIA",3,1054,284.6,1,33.3,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"20021","BELAUNTZA",2,258,775.2,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"48016","BERANGO",62,7230,857.5,0,0,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"01014","BERANTEVILLA",4,488,819.7,0,0,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"20022","BERASTEGI",3,1053,284.9,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20074","BERGARA",67,15004,446.5,3,4.5,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
