"CCAA","cod_ine","value","date","poblacion","per_cienmil","daily_deaths","daily_deaths_inc","daily_deaths_avg6"
"Murcia",14,1,2020-03-22,1493898,0.07,0,0,0.2
"Navarra",15,14,2020-03-22,654214,2.14,5,55.6,2.2
"País Vasco",16,97,2020-03-22,2207776,4.39,12,14.1,12.3
"Total",0,1720,2020-03-22,NA,NA,394,29.7,235.2
"Andalucía",1,58,2020-03-23,8414240,0.69,11,23.4,7.8
"Aragón",2,32,2020-03-23,1319291,2.43,8,33.3,3.3
"Asturias",3,12,2020-03-23,1022800,1.17,4,50,1.8
"Baleares",4,10,2020-03-23,1149460,0.87,6,150,1.5
"C. Valenciana",10,94,2020-03-23,5003769,1.88,25,36.2,13.5
"Canarias",5,11,2020-03-23,2153389,0.51,2,22.2,1.5
"Cantabria",6,6,2020-03-23,581078,1.03,1,20,1
"Castilla y León",7,102,2020-03-23,2399548,4.25,28,37.8,15
"Castilla-La Mancha",8,145,2020-03-23,2032863,7.13,33,29.5,21.3
"Cataluña",9,245,2020-03-23,7675217,3.19,54,28.3,37.8
"Ceuta",18,0,2020-03-23,84777,0,0,NA,0
"Extremadura",11,18,2020-03-23,1067710,1.69,4,28.6,2.5
"Galicia",12,18,2020-03-23,2699499,0.67,6,50,2.5
"La Rioja",17,22,2020-03-23,316798,6.94,4,22.2,2.8
"Madrid",13,1263,2020-03-23,6663394,18.95,242,23.7,151.3
"Melilla",19,0,2020-03-23,86487,0,0,NA,0
"Murcia",14,2,2020-03-23,1493898,0.13,1,100,0.3
"Navarra",15,24,2020-03-23,654214,3.67,10,71.4,3.7
"País Vasco",16,120,2020-03-23,2207776,5.44,23,23.7,14
"Total",0,2182,2020-03-23,NA,NA,462,26.9,281.8
"Andalucía",1,87,2020-03-24,8414240,1.03,29,50,11.3
"Aragón",2,37,2020-03-24,1319291,2.8,5,15.6,4
"Asturias",3,22,2020-03-24,1022800,2.15,10,83.3,3.5
"Baleares",4,10,2020-03-24,1149460,0.87,0,0,1.5
"C. Valenciana",10,115,2020-03-24,5003769,2.3,21,22.3,15.5
"Canarias",5,16,2020-03-24,2153389,0.74,5,45.5,2.2
"Cantabria",6,9,2020-03-24,581078,1.55,3,50,1.3
"Castilla y León",7,124,2020-03-24,2399548,5.17,22,21.6,17
"Castilla-La Mancha",8,216,2020-03-24,2032863,10.63,71,49,31.3
"Cataluña",9,282,2020-03-24,7675217,3.67,37,15.1,40.2
"Ceuta",18,0,2020-03-24,84777,0,0,NA,0
"Extremadura",11,26,2020-03-24,1067710,2.44,8,44.4,3.3
"Galicia",12,20,2020-03-24,2699499,0.74,2,11.1,2.8
"La Rioja",17,30,2020-03-24,316798,9.47,8,36.4,4.2
"Madrid",13,1535,2020-03-24,6663394,23.04,272,21.5,190.8
"Melilla",19,0,2020-03-24,86487,0,0,NA,0
"Murcia",14,3,2020-03-24,1493898,0.2,1,50,0.5
"Navarra",15,31,2020-03-24,654214,4.74,7,29.2,4.7
"País Vasco",16,133,2020-03-24,2207776,6.02,13,10.8,15.5
"Total",0,2696,2020-03-24,NA,NA,514,23.6,349.7
"Andalucía",1,113,2020-03-25,8414240,1.34,26,29.9,15
"Aragón",2,40,2020-03-25,1319291,3.03,3,8.1,4.2
"Asturias",3,25,2020-03-25,1022800,2.44,3,13.6,4
"Baleares",4,13,2020-03-25,1149460,1.13,3,30,1.8
"C. Valenciana",10,143,2020-03-25,5003769,2.86,28,24.3,19.8
"Canarias",5,21,2020-03-25,2153389,0.98,5,31.2,3
"Cantabria",6,14,2020-03-25,581078,2.41,5,55.6,2.2
"Castilla y León",7,165,2020-03-25,2399548,6.88,41,33.1,22.7
"Castilla-La Mancha",8,263,2020-03-25,2032863,12.94,47,21.8,36.8
"Cataluña",9,516,2020-03-25,7675217,6.72,234,83,76.8
"Ceuta",18,0,2020-03-25,84777,0,0,NA,0
"Extremadura",11,39,2020-03-25,1067710,3.65,13,50,5.2
"Galicia",12,27,2020-03-25,2699499,1,7,35,3.8
"La Rioja",17,37,2020-03-25,316798,11.68,7,23.3,5.3
"Madrid",13,1825,2020-03-25,6663394,27.39,290,18.9,221.2
"Melilla",19,0,2020-03-25,86487,0,0,NA,0
"Murcia",14,5,2020-03-25,1493898,0.33,2,66.7,0.8
"Navarra",15,33,2020-03-25,654214,5.04,2,6.5,4.8
"País Vasco",16,155,2020-03-25,2207776,7.02,22,16.5,17
"Total",0,3434,2020-03-25,NA,NA,738,27.4,444.5
"Andalucía",1,134,2020-03-26,8414240,1.59,21,18.6,17.3
"Aragón",2,48,2020-03-26,1319291,3.64,8,20,5.2
