"cod_ine","CCAA","value","date","poblacion","per_cienmil"
13,"Madrid",137,2020-03-06,6663394,2.06
13,"Madrid",8921,2020-03-21,6663394,133.88
13,"Madrid",10575,2020-03-23,6663394,158.7
13,"Madrid",1388,2020-03-12,6663394,20.83
13,"Madrid",9702,2020-03-22,6663394,145.6
13,"Madrid",49,2020-03-03,6663394,0.74
13,"Madrid",5637,2020-03-18,6663394,84.6
13,"Madrid",7165,2020-03-20,6663394,107.53
13,"Madrid",4871,2020-03-17,6663394,73.1
13,"Madrid",6777,2020-03-19,6663394,101.7
13,"Madrid",4165,2020-03-16,6663394,62.51
14,"Murcia",11,2020-03-11,1493898,0.74
14,"Murcia",9,2020-03-10,1493898,0.6
14,"Murcia",0,2020-02-28,1493898,0
14,"Murcia",0,2020-02-27,1493898,0
14,"Murcia",0,2020-02-29,1493898,0
14,"Murcia",345,2020-03-23,1493898,23.09
14,"Murcia",0,2020-03-04,1493898,0
14,"Murcia",0,2020-03-01,1493898,0
14,"Murcia",0,2020-03-03,1493898,0
14,"Murcia",0,2020-03-05,1493898,0
14,"Murcia",0,2020-03-07,1493898,0
14,"Murcia",4,2020-03-09,1493898,0.27
14,"Murcia",385,2020-03-24,1493898,25.77
14,"Murcia",35,2020-03-13,1493898,2.34
14,"Murcia",0,2020-03-02,1493898,0
14,"Murcia",97,2020-03-17,1493898,6.49
14,"Murcia",0,2020-03-06,1493898,0
14,"Murcia",1,2020-03-08,1493898,0.07
14,"Murcia",122,2020-03-18,1493898,8.17
14,"Murcia",26,2020-03-12,1493898,1.74
14,"Murcia",47,2020-03-14,1493898,3.15
14,"Murcia",77,2020-03-16,1493898,5.15
14,"Murcia",240,2020-03-21,1493898,16.07
14,"Murcia",204,2020-03-20,1493898,13.66
14,"Murcia",296,2020-03-22,1493898,19.81
14,"Murcia",167,2020-03-19,1493898,11.18
14,"Murcia",71,2020-03-15,1493898,4.75
15,"Navarra",0,2020-02-29,654214,0
15,"Navarra",0,2020-02-28,654214,0
15,"Navarra",1,2020-03-01,654214,0.15
15,"Navarra",1,2020-03-03,654214,0.15
15,"Navarra",3,2020-03-08,654214,0.46
15,"Navarra",1,2020-03-02,654214,0.15
15,"Navarra",3,2020-03-04,654214,0.46
15,"Navarra",0,2020-02-27,654214,0
15,"Navarra",274,2020-03-16,654214,41.88
15,"Navarra",386,2020-03-18,654214,59
15,"Navarra",3,2020-03-07,654214,0.46
15,"Navarra",3,2020-03-09,654214,0.46
15,"Navarra",46,2020-03-11,654214,7.03
15,"Navarra",3,2020-03-05,654214,0.46
15,"Navarra",183,2020-03-15,654214,27.97
15,"Navarra",313,2020-03-17,654214,47.84
15,"Navarra",482,2020-03-19,654214,73.68
15,"Navarra",664,2020-03-21,654214,101.5
15,"Navarra",12,2020-03-10,654214,1.83
15,"Navarra",73,2020-03-12,654214,11.16
15,"Navarra",3,2020-03-06,654214,0.46
15,"Navarra",1014,2020-03-24,654214,155
15,"Navarra",130,2020-03-13,654214,19.87
15,"Navarra",554,2020-03-20,654214,84.68
15,"Navarra",794,2020-03-22,654214,121.37
15,"Navarra",146,2020-03-14,654214,22.32
15,"Navarra",886,2020-03-23,654214,135.43
16,"País Vasco",2,2020-02-29,2207776,0.09
16,"País Vasco",45,2020-03-07,2207776,2.04
16,"País Vasco",45,2020-03-06,2207776,2.04
16,"País Vasco",13,2020-03-03,2207776,0.59
16,"País Vasco",417,2020-03-13,2207776,18.89
16,"País Vasco",0,2020-02-28,2207776,0
16,"País Vasco",3,2020-03-01,2207776,0.14
16,"País Vasco",417,2020-03-14,2207776,18.89
16,"País Vasco",102,2020-03-08,2207776,4.62
16,"País Vasco",9,2020-03-02,2207776,0.41
16,"País Vasco",17,2020-03-04,2207776,0.77
16,"País Vasco",0,2020-02-27,2207776,0
16,"País Vasco",2728,2020-03-24,2207776,123.56
16,"País Vasco",17,2020-03-05,2207776,0.77
16,"País Vasco",630,2020-03-15,2207776,28.54
16,"País Vasco",149,2020-03-09,2207776,6.75
16,"País Vasco",225,2020-03-11,2207776,10.19
16,"País Vasco",630,2020-03-16,2207776,28.54
16,"País Vasco",2421,2020-03-23,2207776,109.66
16,"País Vasco",346,2020-03-12,2207776,15.67
16,"País Vasco",2097,2020-03-22,2207776,94.98
16,"País Vasco",1190,2020-03-19,2207776,53.9
16,"País Vasco",195,2020-03-10,2207776,8.83
16,"País Vasco",973,2020-03-18,2207776,44.07
16,"País Vasco",765,2020-03-17,2207776,34.65
16,"País Vasco",1725,2020-03-21,2207776,78.13
16,"País Vasco",1465,2020-03-20,2207776,66.36
17,"La Rioja",0,2020-02-29,316798,0
17,"La Rioja",39,2020-03-07,316798,12.31
17,"La Rioja",29,2020-03-06,316798,9.15
17,"La Rioja",55,2020-03-08,316798,17.36
17,"La Rioja",1,2020-03-02,316798,0.32
17,"La Rioja",0,2020-03-01,316798,0
17,"La Rioja",81,2020-03-09,316798,25.57
17,"La Rioja",3,2020-03-03,316798,0.95
17,"La Rioja",243,2020-03-13,316798,76.71
17,"La Rioja",300,2020-03-15,316798,94.7
17,"La Rioja",205,2020-03-12,316798,64.71
17,"La Rioja",278,2020-03-14,316798,87.75
17,"La Rioja",312,2020-03-16,316798,98.49
17,"La Rioja",144,2020-03-10,316798,45.45
17,"La Rioja",7,2020-03-04,316798,2.21
17,"La Rioja",0,2020-02-27,316798,0
17,"La Rioja",468,2020-03-19,316798,147.73
17,"La Rioja",564,2020-03-21,316798,178.03
