"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments","","casos_acumul_old","recovered_old","deceased_old"
"2020-04-12","Coruña, A","Galicia","","","","2408","430","58","167","","","316","galiciancovid19.info; lavozdegalicia.es; galiciaartabradigital.com","https://galiciancovid19.info/; https://www.lavozdegalicia.es/noticia/coruna/coruna/2020/04/12/tres-personas-fallecieron-chuac-elevan-cifra-muertos-hospitales-area-sanitaria-82/00031586687132488323789.htm; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/12/eleva-cinco-numero-pacientes-covid-19-ingresados-hospital-barbanza/00031586701421000578271.htm; https://www.galiciaartabradigital.com/archivos/210545","","","","",""
"2020-04-13","Coruña, A","Galicia","","","","2435","370","49","172","","","268","galiciancovid19.info; laopinioncoruna.es; lavozdegalicia.es","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/13/ultima-hora-coronavirus-coruna-/1493934.html; https://www.lavozdegalicia.es/noticia/barbanza/2020/04/13/area-sanitaria-registra-diez-nuevos-casos-suma-973-personas-contagiadas-covid-19/0003_202004B13C3992.htm;","","","","",""
"2020-04-14","Coruña, A","Galicia","","","","2458","446","54","178","","","275","galiciancovid19.info; laopinioncoruna.es; lavozdegalicia.es","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/15/fallecidos-hospitalizados-casos-activos/1494355.html; ; https://www.lavozdegalicia.es/noticia/ferrol/ferrol/2020/04/14/plantas-covid-19-area-tercio-capacidad/0003_202004F14C1996.htm","","","","",""
"2020-04-15","Coruña, A","Galicia","","","","2528","454","59","188","","","506","galiciancovid19.info; 20minutos.es; 20minutos.es; cope.es","https://galiciancovid19.info/; https://www.20minutos.es/noticia/4227830/0/siguen-en-descenso-los-pacientes-en-uci-en-hospitales-de-galicia-y-se-situan-en-128/; https://www.20minutos.es/noticia/4227830/0/siguen-en-descenso-los-pacientes-en-uci-en-hospitales-de-galicia-y-se-situan-en-128/; https://www.cope.es/emisoras/galicia/a-coruna-provincia/ferrol/noticias/estabilidad-cuanto-los-contagios-por-covid-19-area-sanitaria-ferrol-20200415_682424","","","","",""
"2020-04-16","Coruña, A","Galicia","","","","2591","422","56","198","","","556","galiciancovid19.info; laopinioncoruna.es; elidealgallego.com; elidealgallego.com","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/16/ultima-hora-coronavirus-galicia-/1494738.html; https://www.elidealgallego.com/articulo/galicia/bajan-123-pacientes-uci-hospitales-galicia/20200416135328434039.html; https://www.elidealgallego.com/articulo/galicia/bajan-123-pacientes-uci-hospitales-galicia/20200416135328434039.html","","","","",""
"2020-04-17","Coruña, A","Galicia","","","","2615","380","53","205","","","589","galiciancovid19.info; lavozdegalicia.es; lavozdegalicia.es","https://galiciancovid19.info/; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/17/balance-area-sanitaria/00031587117506934200200.htm; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/17/balance-area-sanitaria/00031587117506934200200.htm; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/17/balance-area-sanitaria/00031587117506934200200.htm","","","","",""
"2020-04-18","Coruña, A","Galicia","","","","2647","423","53","211","","","602","galiciancovid19.info; lavozdegalicia.es; diariodearousa.com; galiciaartabradigital.com","https://galiciancovid19.info/; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/17/100-muertos-area-1200-enfermos-aislados-casas/00031587122621256394597.htm; https://www.diariodearousa.com/articulo/o-salnes/fallece-vecino-illa-contrajo-coronavirus-huelva/20200418005457261720.html; http://www.galiciaartabradigital.com/archivos/210760","","","","",""
"2020-04-19","Coruña, A","Galicia","","","","2700","227","34","215","","","393","galiciancovid19.info; laopinioncoruna.es; diariodeferrol.com","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/20/coruna-registra-cifra-ingresos-uci/1495601.html; ; https://www.diariodeferrol.com/articulo/ferrol/atencion-covid-19-seguira-desdoblada-marcide-naval/20200419001600279494.html","","","","",""
"2020-04-20","Coruña, A","Galicia","","","","2744","331","50","220","","","630","galiciancovid19.info; laopinioncoruna.es; galiciaconfidencial.com","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/20/ultima-hora-coronavirus-coruna-galicia/1495687.html; http://www.galiciaconfidencial.com/noticia/123876-seguen-aumentando-casos-covid-19-galicia-situanse-6296; http://www.galiciaconfidencial.com/noticia/123876-seguen-aumentando-casos-covid-19-galicia-situanse-6296","","","","",""
"2020-04-21","Coruña, A","Galicia","","","","2757","350","47","226","","","653","galiciancovid19.info; gcdiario.com","https://galiciancovid19.info/; ; https://gcdiario.com/sociedad/87744-amcoronavirus-los-pacientes-infectados-en-uci-descienden-hasta-los-101-en-galicia-siete-menos-que-hace-24-horas/;","","","","",""
"2020-04-22","Coruña, A","Galicia","","","","2766","344","46","232","","","672","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1937261/infectados-galicia-suben-6534-personas-uci-bajan-96; https://www.galiciapress.es/texto-diario/mostrar/1937261/infectados-galicia-suben-6534-personas-uci-bajan-96; https://www.galiciapress.es/texto-diario/mostrar/1937261/infectados-galicia-suben-6534-personas-uci-bajan-96","","","","",""
"2020-04-23","Coruña, A","Galicia","","","","2798","319","45","241","","","683","galiciancovid19.info; lavozdegalicia.es; galiciapress.es","https://galiciancovid19.info/; https://www.lavozdegalicia.es/noticia/coruna/coruna/2020/04/23/baja-numero-ingresados-hospitales-area-sanitaria-aumentan-positivos-totales/00031587636962631452827.htm; https://www.lavozdegalicia.es/noticia/barbanza/2020/04/23/area-sanitaria-reduce-cifra-positivos-covid-19-segunda-vez-inicio-crisis/00031587669060829279377.htm; https://www.galiciapress.es/texto-diario/mostrar/1938182/hacienda-reforzara-atencion-telefonica-renta-no-descarta-ampliar-campana","","","","",""
"2020-04-24","Coruña, A","Galicia","","","","2836","317","42","243","","","693","galiciancovid19.info; lavanguardia.com; lavozdegalicia.es","https://galiciancovid19.info/; https://www.lavanguardia.com/local/galicia/20200424/48694768257/los-infectados-en-uci-en-galicia-descienden-hasta-los-87-cinco-menos-que-el-jueves.html; https://www.lavozdegalicia.es/noticia/sociedad/2020/04/24/casos-coronavirus-siguen-descendiendo-area-sanitaria-santiago-barbanza/00031587733367410749840.htm; https://www.lavanguardia.com/local/galicia/20200424/48694768257/los-infectados-en-uci-en-galicia-descienden-hasta-los-87-cinco-menos-que-el-jueves.html","","","","",""
"2020-04-25","Coruña, A","Galicia","","","","2933","309","38","250","","","642","galiciancovid19.info; elidealgallego.com;","https://galiciancovid19.info/; https://www.elidealgallego.com/articulo/coruna/area-coruna-vive-primera-jornada-ningun-fallecido-mes/20200424225107434735.html; ;","","","","",""
"2020-04-26","Coruña, A","Galicia","","","","3010","290","41","259","","","733","galiciancovid19.info; laopinioncoruna.es; lavozdegalicia.es","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/26/coronavirus-galicia--tres-cuatro/1497458.html; ; https://www.lavozdegalicia.es/noticia/ferrol/pontedeume/2020/04/26/curva-contagios-activos-llega-400-casos-26-muertes/0003_202004F26C1995.htm","","","","",""
"2020-04-27","Coruña, A","Galicia","","","","3036","293","41","263","","","749","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1941050/fallecido-residencia-hospitales-elevan-533-victimas-covid-galicia; https://www.galiciapress.es/texto-diario/mostrar/1941050/fallecido-residencia-hospitales-elevan-533-victimas-covid-galicia; https://www.galiciapress.es/texto-diario/mostrar/1941050/fallecido-residencia-hospitales-elevan-533-victimas-covid-galicia","","","","",""
"2020-04-28","Coruña, A","Galicia","","","","3084","285","36","266","","","766","galiciancovid19.info; laopinioncoruna.es","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/04/28/coronavirus-coruna--galicia-alcanza/1497949.html; ; https://www.laopinioncoruna.es/sociedad/2020/04/28/coronavirus-coruna--galicia-alcanza/1497949.html","","","","",""
"2020-04-29","Coruña, A","Galicia","","","","3108","281","37","266","","","691","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1943021/pacientes-uci-mantienen-73-galicia-descienden-13-hospitalizados-hasta-482; ; https://www.galiciapress.es/texto-diario/mostrar/1943021/pacientes-uci-mantienen-73-galicia-descienden-13-hospitalizados-hasta-482","","","","",""
"2020-04-30","Coruña, A","Galicia","","","","3126","192","27","268","","","722","galiciancovid19.info; 20minutos.es; 20minutos.es","https://galiciancovid19.info/; https://www.20minutos.es/noticia/4243381/0/los-pacientes-con-covid-ingresados-en-uci-descienden-un-35-en-galicia-y-se-situan-en-47/; ; https://www.20minutos.es/noticia/4243381/0/los-pacientes-con-covid-ingresados-en-uci-descienden-un-35-en-galicia-y-se-situan-en-47/","","","","",""
"2020-05-01","Coruña, A","Galicia","","","","3135","187","26","269","","","765","galiciancovid19.info; laopinioncoruna.es; elcorreogallego.es","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/05/01/pacientes-ingresados-coruna-bajan-81/1498652.html; ; https://www.elcorreogallego.es/primer-plano/significativo-retroceso-en-galicia-al-bajar-el-35-de-ingresados-en-uci-GE2767778","","","","",""
"2020-05-02","Coruña, A","Galicia","","","","1544","166","23","273","","","1440","galiciancovid19.info; laopinioncoruna.es; lavozdegalicia.es","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/05/02/cifra-ingresados-area-corunesa-baja/1498879.html; ; https://www.lavozdegalicia.es/noticia/ferrol/2020/04/29/nueva-formula-recuento-deja-area-ferrolterra-159-casos-activos-covid-19-248-curados/00031588169032999923332.htm","","","","",""
"2020-05-03","Coruña, A","Galicia","","","","1476","153","21","277","","","1853","galiciancovid19.info; lavozdegalicia.es","https://galiciancovid19.info/; https://www.lavozdegalicia.es/noticia/coruna/coruna/2020/05/02/sigue-descenso-casos-activos-area-sanitaria/00031588414873110587485.htm; ; https://www.lavozdegalicia.es/noticia/ferrol/ferrol/2020/05/03/activos-covid-19-area-ferrol-situan-147-cuatro-ayer/00031588501214692524434.htm","","","","",""
"2020-05-04","Coruña, A","Galicia","","","","1447","153","19","281","","","1523","galiciancovid19.info; 20minutos.es; 20minutos.es","https://galiciancovid19.info/; https://www.20minutos.es/noticia/4246065/0/bajan-hasta-los-34-los-pacientes-con-covid-19-en-uci-en-galicia-y-pontevedra-es-la-primera-area-sin-ninguno/; ; https://www.20minutos.es/noticia/4246065/0/bajan-hasta-los-34-los-pacientes-con-covid-19-en-uci-en-galicia-y-pontevedra-es-la-primera-area-sin-ninguno/","","","","",""
